sep=\t
Module Resource Usage Distribution Estimates
Generated at: Mar 07, 2023 02:30:50

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	    3209(0)	       3(0)	     676(0)	    3962(1)	     0(0)	   204(0)	     4(0)	
 +axi_slave_0:axi4_slave                                    	     68(28)	       0(0)	     22(22)	     54(54)	     0(0)	     4(0)	     0(0)	
  +genblk1[0].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +genblk1[1].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +genblk1[2].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +genblk1[3].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +intr_s0:timer_start(MHZ=100,SECOND=10,PULSE=1)            	     45(45)	       1(1)	     39(39)	     55(55)	     0(0)	     0(0)	     0(0)	
 +apb_slave_0:apb3_slave                                    	   195(195)	       0(0)	       0(0)	   109(109)	     0(0)	     0(0)	     0(0)	
 +soc_inst:sapphire_soc_no_cache                            	    2901(0)	       2(0)	     615(0)	    3743(0)	     0(0)	   200(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_f7e8d09faee74d1abffbda5156fa885b	  2901(688)	       2(0)	    615(16)	  3743(461)	     0(0)	   200(0)	     4(0)	
   +bufferCC_6:BufferCC_2_f7e8d09faee74d1abffbda5156fa885b  	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +bufferCC_7:BufferCC_3_f7e8d09faee74d1abffbda5156fa885b  	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_f7e8d09faee74d1abffbda5156fa885b	 1179(1112)	       0(0)	   335(335)	 1961(1920)	     0(0)	     4(4)	     4(4)	
    +IBusSimplePlugin_rspJoin_rspBuffer_c:StreamFifoLowLatency_f7e8d09faee74d1abffbda5156fa885b	     67(67)	       0(0)	       0(0)	     41(41)	     0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_f7e8d09faee74d1abffbda5156fa885b	     81(74)	       1(0)	       0(0)	     47(45)	     0(0)	     0(0)	     0(0)	
    +flowCCByToggle_1:FlowCCByToggle_f7e8d09faee74d1abffbda5156fa885b	       7(7)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
