sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jan 09, 2023 13:01:56

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	    3796(0)	      15(0)	     790(0)	    4614(1)	     0(0)	    70(0)	     4(0)	
 +apb_slave_0:apb3_slave                                    	   195(195)	       0(0)	       0(0)	   109(109)	     0(0)	     0(0)	     0(0)	
 +intr_s0:timer_start(MHZ=100,SECOND=10,PULSE=1)            	     45(45)	       1(1)	     39(39)	     54(54)	     0(0)	     0(0)	     0(0)	
 +axi_slave_0:axi4_slave                                    	     68(28)	       0(0)	     22(22)	     64(64)	     0(0)	     4(0)	     0(0)	
  +genblk1[0].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +genblk1[1].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +genblk1[2].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +genblk1[3].user_ram:ext_mem(DATA_WIDTH=10)               	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
 +soc_inst:sapphire_soc_no_cache                            	    2896(0)	       2(0)	     615(0)	    3579(0)	     0(0)	    40(0)	     4(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_4fa4d9d985cd43beaba128f90ce51c31	  2896(688)	       2(0)	    615(16)	  3579(411)	     0(0)	    40(0)	     4(0)	
   +bufferCC_6:BufferCC_2_4fa4d9d985cd43beaba128f90ce51c31  	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +bufferCC_7:BufferCC_3_4fa4d9d985cd43beaba128f90ce51c31  	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_4fa4d9d985cd43beaba128f90ce51c31	 1179(1112)	       0(0)	   335(335)	 1988(1946)	     0(0)	     4(4)	     4(4)	
    +IBusSimplePlugin_rspJoin_rspBuffer_c:StreamFifoLowLatency_4fa4d9d985cd43beaba128f90ce51c31	     67(67)	       0(0)	       0(0)	     42(42)	     0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_4fa4d9d985cd43beaba128f90ce51c31	     81(74)	       1(0)	       0(0)	     47(45)	     0(0)	     0(0)	     0(0)	
    +flowCCByToggle_1:FlowCCByToggle_4fa4d9d985cd43beaba128f90ce51c31	       7(7)	       1(1)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_debugger:SystemDebugger_4fa4d9d985cd43beaba128f90ce51c31	     73(73)	       1(1)	       0(0)	     25(25)	     0(0)	     0(0)	     0(0)	
   +bufferCC_8:BufferCC_5_4fa4d9d985cd43beaba128f90ce51c31  	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_4fa4d9d985cd43beaba128f90ce51c31	       3(0)	       0(0)	       0(0)	      95(0)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_4fa4d9d985cd43beaba128f90ce51c31	       3(3)	       0(0)	       0(0)	     95(95)	     0(0)	     0(0)	     0(0)	
   +system_axiA_logic_bmbToAxiBridge:BmbToAxi4SharedBridge_4fa4d9d985cd43beaba128f90ce51c31	     71(19)	       0(0)	       0(0)	    100(31)	     0(0)	     0(0)	     0(0)	
    +writeCmdInfo_fifo:StreamFifo_4fa4d9d985cd43beaba128f90ce51c31	     26(26)	       0(0)	       0(0)	     34(34)	     0(0)	     0(0)	     0(0)	
    +readCmdInfo_fifo:StreamFifo_4fa4d9d985cd43beaba128f90ce51c31	     26(26)	       0(0)	       0(0)	     35(35)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_decoder:BmbDecoder_1_4fa4d9d985cd43beaba128f90ce51c31	     13(13)	       0(0)	     15(15)	     73(73)	     0(0)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_2_4fa4d9d985cd43beaba128f90ce51c31	       9(9)	       0(0)	     15(15)	     13(13)	     0(0)	     0(0)	     0(0)	
   +system_ramA_logic:BmbOnChipRam_4fa4d9d985cd43beaba128f90ce51c31	       3(3)	       0(0)	       0(0)	       4(4)	     0(0)	   32(32)	     0(0)	
   +system_bmbPeripheral_bmb_decoder:BmbDecoder_3_4fa4d9d985cd43beaba128f90ce51c31	     80(80)	       0(0)	       0(0)	   141(141)	     0(0)	     0(0)	     0(0)	
   +system_clint_logic:BmbClint_4fa4d9d985cd43beaba128f90ce51c31	   166(166)	       0(0)	     63(63)	   167(167)	     0(0)	     0(0)	     0(0)	
   +system_uart_0_io_logic:BmbUartCtrl_4fa4d9d985cd43beaba128f90ce51c31	    162(64)	       0(0)	      71(0)	    186(45)	     0(0)	     2(0)	     0(0)	
